time_since_power_on,time,pm25,pm10,AirTC_Avg,RH_Avg,Pressure
4456,"14:26:02,456",3.50,18.50,19.15,61.77,99211.27
4644,"14:26:02,644",3.50,18.50,19.14,61.77,99211.30
4832,"14:26:02,832",3.50,18.50,19.15,61.77,99208.48
5020,"14:26:03,020",3.50,18.50,19.15,61.77,99208.77
5209,"14:26:03,209",3.30,15.70,19.16,61.77,99210.07
5397,"14:26:03,397",3.30,15.70,19.16,61.77,99209.58
5585,"14:26:03,585",3.30,15.70,19.15,61.77,99207.11
5770,"14:26:03,770",3.30,15.70,19.16,61.77,99209.03
5956,"14:26:03,956",3.30,15.70,19.16,61.77,99210.66
6141,"14:26:04,141",3.90,24.10,19.15,61.77,99204.39
6327,"14:26:04,327",3.90,24.10,19.16,61.77,99207.08
6512,"14:26:04,512",3.90,24.10,19.16,61.77,99208.73
6698,"14:26:04,698",3.90,24.10,19.15,61.77,99209.20
6888,"14:26:04,888",3.90,24.10,19.15,61.77,99208.00
7075,"14:26:05,075",3.90,24.10,19.16,61.77,99208.81
7260,"14:26:05,260",4.40,26.90,19.16,61.77,99208.65
7446,"14:26:05,446",4.40,26.90,19.16,61.77,99204.97
7631,"14:26:05,631",4.40,26.90,19.16,61.77,99207.97
7817,"14:26:05,817",4.40,26.90,19.16,61.77,99208.81
8002,"14:26:06,002",4.40,26.90,19.15,61.77,99207.83
8188,"14:26:06,188",4.30,24.30,19.16,61.77,99209.30
8373,"14:26:06,373",4.30,24.30,19.16,61.77,99211.09
8560,"14:26:06,560",4.30,24.30,19.18,61.77,99207.25
8744,"14:26:06,744",4.30,24.30,19.18,61.77,99208.22
8931,"14:26:06,931",4.30,24.30,19.16,61.77,99207.02
9115,"14:26:07,115",4.40,24.50,19.16,61.77,99205.62
9307,"14:26:07,307",4.40,24.50,19.16,61.77,99205.45
9493,"14:26:07,493",4.40,24.50,19.16,61.77,99207.67
9679,"14:26:07,679",4.40,24.50,19.16,61.77,99206.70
9864,"14:26:07,864",4.40,24.50,19.16,61.77,99209.13
10050,"14:26:08,050",4.40,24.50,19.18,61.77,99207.34
10236,"14:26:08,236",4.60,22.90,19.15,61.77,99207.34
10421,"14:26:08,421",4.60,22.90,19.16,61.77,99206.53
10607,"14:26:08,607",4.60,22.90,19.16,61.77,99207.34
10792,"14:26:08,792",4.60,22.90,19.16,61.74,99205.62
10978,"14:26:08,978",4.60,22.90,19.16,61.74,99205.62
11164,"14:26:09,164",4.70,21.80,19.18,61.77,99206.86
11349,"14:26:09,349",4.70,21.80,19.16,61.77,99205.56
11535,"14:26:09,535",4.70,21.80,19.16,61.77,99209.46
11721,"14:26:09,721",4.70,21.80,19.16,61.77,99206.17
11904,"14:26:09,904",4.70,21.80,19.16,61.74,99208.06
12089,"14:26:10,089",4.70,21.80,19.18,61.77,99207.25
12275,"14:26:10,275",4.50,20.20,19.16,61.77,99208.48
12461,"14:26:10,461",4.50,20.20,19.15,61.77,99209.09
12646,"14:26:10,646",4.50,20.20,19.16,61.77,99210.17
12832,"14:26:10,832",4.50,20.20,19.18,61.74,99209.84
13017,"14:26:11,017",4.50,20.20,19.16,61.77,99209.69
13203,"14:26:11,203",4.40,18.80,19.16,61.77,99208.73
13389,"14:26:11,389",4.40,18.80,19.16,61.74,99210.66
13574,"14:26:11,574",4.40,18.80,19.16,61.77,99211.53
13760,"14:26:11,760",4.40,18.80,19.16,61.74,99211.47
13945,"14:26:11,945",4.40,18.80,19.18,61.77,99209.69
14131,"14:26:12,131",4.40,21.70,19.16,61.77,99206.53
14323,"14:26:12,323",4.40,21.70,19.18,61.77,99206.33
14507,"14:26:12,507",4.40,21.70,19.18,61.77,99209.03
14694,"14:26:12,694",4.40,21.70,19.18,61.77,99207.80
14878,"14:26:12,878",4.40,21.70,19.16,61.77,99210.82
15065,"14:26:13,065",4.40,21.70,19.16,61.77,99208.45
15249,"14:26:13,249",4.40,21.30,19.18,61.77,99212.02
15436,"14:26:13,436",4.40,21.30,19.16,61.74,99210.39
15620,"14:26:13,620",4.40,21.30,19.18,61.74,99209.26
15807,"14:26:13,807",4.40,21.30,19.18,61.77,99209.09
15991,"14:26:13,991",4.40,21.30,19.18,61.77,99210.56
16178,"14:26:14,178",4.40,20.80,19.16,61.74,99209.45
16363,"14:26:14,363",4.40,20.80,19.16,61.77,99210.56
16549,"14:26:14,549",4.40,20.80,19.16,61.77,99212.80
16740,"14:26:14,740",4.40,20.80,19.16,61.77,99211.23
16926,"14:26:14,926",4.40,20.80,19.15,61.67,99211.53
17111,"14:26:15,111",4.40,19.80,19.16,61.77,99209.78
17297,"14:26:15,297",4.40,19.80,19.16,61.77,99208.67
17482,"14:26:15,482",4.40,19.80,19.18,61.67,99212.11
17668,"14:26:15,668",4.40,19.80,19.18,61.74,99211.92
17854,"14:26:15,854",4.40,19.80,19.16,61.67,99212.27
18039,"14:26:16,039",4.40,19.80,19.18,61.77,99212.70
18225,"14:26:16,225",4.60,20.60,19.18,61.77,99210.00
18410,"14:26:16,410",4.60,20.60,19.16,61.65,99211.14
18595,"14:26:16,595",4.60,20.60,19.18,61.67,99213.52
18781,"14:26:16,781",4.60,20.60,19.18,61.67,99212.44
18966,"14:26:16,966",4.60,20.60,19.16,61.74,99212.11
19157,"14:26:17,157",4.60,20.60,19.18,61.67,99211.95
19357,"14:26:17,357",4.60,20.60,19.18,61.67,99210.52
19542,"14:26:17,542",4.60,20.60,19.18,61.67,99212.44
19729,"14:26:17,729",4.60,20.60,19.18,61.77,99213.55
19913,"14:26:17,913",4.60,20.60,19.18,61.67,99212.77
20099,"14:26:18,099",4.60,20.60,19.18,61.65,99211.95
20284,"14:26:18,284",4.60,19.90,19.18,61.65,99209.67
20470,"14:26:18,470",4.60,19.90,19.18,61.67,99209.22
20655,"14:26:18,655",4.60,19.90,19.18,61.67,99208.57
20841,"14:26:18,841",4.60,19.90,19.18,61.67,99208.41
21026,"14:26:19,026",4.60,19.90,19.18,61.65,99210.69
21212,"14:26:19,212",4.80,20.40,19.18,61.65,99210.20
21396,"14:26:19,396",4.80,20.40,19.18,61.67,99211.66
21588,"14:26:19,588",4.80,20.40,19.16,61.67,99210.03
21774,"14:26:19,774",4.80,20.40,19.16,61.67,99210.39
21959,"14:26:19,959",4.80,20.40,19.18,61.65,99207.62
22145,"14:26:20,145",4.80,19.50,19.18,61.65,99206.16
22330,"14:26:20,330",4.80,19.50,19.18,61.67,99206.81
22516,"14:26:20,516",4.80,19.50,19.18,61.67,99207.62
22701,"14:26:20,701",4.80,19.50,19.16,61.65,99210.03
22887,"14:26:20,887",4.80,19.50,19.16,61.67,99204.89
23072,"14:26:21,072",4.80,19.50,19.18,61.65,99206.19
23258,"14:26:21,258",4.80,19.70,19.18,61.67,99209.77
23443,"14:26:21,443",4.80,19.70,19.18,61.65,99207.72
23629,"14:26:21,629",4.80,19.70,19.18,61.65,99207.88
23814,"14:26:21,814",4.80,19.70,19.18,61.65,99209.93
24006,"14:26:22,006",4.80,19.70,19.16,61.67,99209.99
24191,"14:26:22,191",4.80,19.20,19.18,61.67,99209.18
24377,"14:26:22,377",4.80,19.20,19.18,61.65,99210.74
24562,"14:26:22,562",4.80,19.20,19.18,61.67,99210.64
24748,"14:26:22,748",4.80,19.20,19.18,61.67,99207.72
24933,"14:26:22,933",4.80,19.20,19.18,61.65,99206.28
25119,"14:26:23,119",4.70,18.60,19.18,61.65,99208.05
25303,"14:26:23,303",4.70,18.60,19.18,61.65,99207.27
25490,"14:26:23,490",4.70,18.60,19.18,61.67,99206.45
25674,"14:26:23,674",4.70,18.60,19.16,61.65,99204.66
25861,"14:26:23,861",4.70,18.60,19.18,61.67,99209.67
26045,"14:26:24,045",4.70,18.60,19.18,61.65,99208.23
26231,"14:26:24,231",4.60,18.00,19.18,61.65,99208.08
26421,"14:26:24,421",4.60,18.00,19.18,61.67,99205.86
26612,"14:26:24,612",4.60,18.00,19.18,61.65,99208.23
26797,"14:26:24,797",4.60,18.00,19.16,61.65,99203.78
26981,"14:26:24,981",4.60,18.00,19.18,61.67,99207.61
27167,"14:26:25,167",4.60,17.90,19.16,61.65,99207.30
27352,"14:26:25,352",4.60,17.90,19.18,61.67,99206.48
27538,"14:26:25,538",4.60,17.90,19.18,61.65,99205.50
27723,"14:26:25,723",4.60,17.90,19.18,61.65,99208.95
27909,"14:26:25,909",4.60,17.90,19.18,61.67,99205.98
28094,"14:26:26,094",4.60,17.90,19.18,61.67,99205.56
28280,"14:26:26,280",4.60,18.00,19.18,61.65,99207.52
28465,"14:26:26,465",4.60,18.00,19.16,61.67,99208.45
28651,"14:26:26,651",4.60,18.00,19.18,61.67,99206.41
28841,"14:26:26,841",4.60,18.00,19.16,61.67,99208.69
29028,"14:26:27,028",4.60,18.00,19.16,61.65,99208.36
29212,"14:26:27,212",4.60,18.20,19.18,61.65,99208.98
29399,"14:26:27,399",4.60,18.20,19.16,61.65,99209.33
29583,"14:26:27,583",4.60,18.20,19.19,61.65,99207.55
29770,"14:26:27,770",4.60,18.20,19.18,61.67,99208.84
29954,"14:26:27,954",4.60,18.20,19.18,61.65,99207.70
30141,"14:26:28,141",4.50,17.90,19.18,61.65,99207.77
30325,"14:26:28,325",4.50,17.90,19.18,61.67,99206.95
30512,"14:26:28,512",4.50,17.90,19.18,61.65,99208.91
30696,"14:26:28,696",4.50,17.90,19.16,61.65,99210.17
30883,"14:26:28,883",4.50,17.90,19.19,61.65,99207.28
31067,"14:26:29,067",4.50,17.90,19.18,61.65,99209.23
31254,"14:26:29,254",4.60,17.40,19.18,61.65,99207.77
31445,"14:26:29,445",4.60,17.40,19.18,61.67,99210.05
31630,"14:26:29,630",4.60,17.40,19.18,61.65,99206.34
31816,"14:26:29,816",4.60,17.40,19.18,61.67,99211.02
32001,"14:26:30,001",4.60,17.40,19.18,61.65,99208.74
32187,"14:26:30,187",4.70,17.50,19.16,61.65,99208.03
32372,"14:26:30,372",4.70,17.50,19.18,61.67,99210.23
32558,"14:26:30,558",4.70,17.50,19.16,61.65,99212.84
32743,"14:26:30,743",4.70,17.50,19.18,61.67,99211.70
32929,"14:26:30,929",4.70,17.50,19.18,61.67,99206.76
33114,"14:26:31,114",4.70,17.50,19.18,61.67,99204.83
33300,"14:26:31,300",4.60,16.50,19.18,61.65,99207.05
33485,"14:26:31,485",4.60,16.50,19.18,61.65,99207.73
33671,"14:26:31,671",4.60,16.50,19.18,61.67,99206.27
33862,"14:26:31,862",4.60,16.50,19.18,61.65,99206.27
34048,"14:26:32,048",4.60,16.50,19.18,61.65,99207.23
34233,"14:26:32,233",4.60,16.40,19.18,61.65,99208.86
34419,"14:26:32,419",4.60,16.40,19.18,61.67,99206.30
34603,"14:26:32,603",4.60,16.40,19.18,61.65,99207.27
34790,"14:26:32,790",4.60,16.40,19.19,61.65,99206.14
34975,"14:26:32,975",4.60,16.40,19.18,61.65,99206.14
35161,"14:26:33,161",4.70,17.10,19.18,61.67,99205.58
